date,pred
05-20-2019,-10
03-03-2022,-11
03-22-2019,-8
11-10-2021,-13
12-07-2019,-7
06-17-2024,-1
04-13-2023,-7
08-12-2019,-8
07-05-2021,-4
05-16-2020,-7
11-15-2021,-12
02-26-2019,-7
12-08-2020,-19
08-18-2021,0
11-29-2021,-13
05-09-2021,-10
02-26-2024,-8
04-10-2019,-6
04-19-2018,-3
01-05-2020,-10
02-25-2021,-9
06-29-2020,-4
06-26-2024,-16
02-18-2023,-16
11-06-2017,-7
06-01-2022,-9
04-23-2022,4
07-26-2018,1
07-29-2022,-5
06-22-2024,-22
11-14-2020,-17
12-09-2016,-10
04-25-2023,-11
03-22-2019,-13
05-30-2024,-17
04-20-2017,-5
03-23-2018,-8
05-05-2023,-13
10-05-2023,-28
10-21-2017,-7
09-10-2021,-7
04-07-2024,-18
02-08-2024,-4
04-17-2017,1
10-06-2022,-14
05-26-2021,0
12-20-2021,-14
04-10-2021,-3
01-11-2019,-4
01-01-2020,-11
06-04-2017,3
04-25-2022,-7
07-30-2019,-6
01-18-2021,-13
04-23-2019,-7
07-31-2017,-6
06-17-2018,-3
06-15-2023,-2
11-29-2022,-12
08-11-2021,1
12-06-2019,-6
02-12-2022,-9
06-02-2022,1
05-29-2022,-3
03-07-2021,-18
09-01-2018,2
08-13-2021,-6
04-27-2017,-9
05-23-2020,0
06-23-2021,-4
03-07-2021,-18
05-22-2021,1
06-20-2022,-22
04-15-2024,-19
05-28-2021,-4
10-08-2020,-1
11-22-2016,-9
11-10-2021,-6
12-19-2022,-13
06-23-2020,-1
03-09-2023,-16
11-17-2022,-15
01-25-2022,-12
02-25-2018,-5
09-26-2021,-12
12-24-2023,-17
06-29-2017,0
11-22-2018,-3
01-04-2021,-16
08-11-2019,0
09-21-2021,-4
09-29-2019,0
04-04-2022,-14
12-20-2019,-9
11-15-2021,-11
08-10-2019,0
05-08-2024,-12
04-20-2023,-4
05-04-2021,-10
11-16-2018,-15
10-15-2019,-10
02-05-2018,-8
01-08-2022,-13
03-10-2024,-17
02-12-2022,-13
09-05-2021,-7
12-11-2018,-6
12-28-2022,-11
02-08-2020,-12
08-27-2021,-10
01-20-2021,-22
12-10-2017,-10
01-11-2019,-10
03-13-2019,-11
07-20-2022,-14
01-14-2024,-18
12-05-2019,-11
05-28-2022,-7
12-24-2019,-6
07-11-2021,-6
04-12-2021,-11
02-25-2018,-9
04-06-2018,-5
02-07-2023,-11
10-17-2019,-12
06-10-2022,-5
10-27-2021,-18
09-01-2020,-9
11-15-2020,-3
12-09-2023,-13
12-17-2021,-7
10-17-2017,-5
02-23-2021,-15
11-30-2021,-8
02-08-2019,-7
03-15-2023,-16
03-11-2023,-9
07-01-2023,0
10-01-2021,-4
05-04-2018,-1
02-08-2023,-8
09-25-2021,-11
06-25-2024,-14
07-28-2019,3
05-02-2023,-13
12-22-2018,-6
11-08-2019,-15
10-17-2019,-14
12-24-2022,-11
09-19-2023,-8
07-04-2021,0
05-02-2020,-11
04-01-2019,-4
10-03-2021,-1
07-28-2020,-10
06-16-2018,1
06-06-2021,-7
04-18-2024,-15
12-20-2021,-13
06-17-2021,-5
04-27-2019,-9
05-27-2021,-1
06-24-2019,3
10-22-2023,-16
09-23-2022,-12
11-21-2019,-8
04-07-2021,-7
01-10-2024,-21
08-10-2021,-8
02-18-2018,-11
05-09-2021,-11
04-04-2019,-5
12-23-2020,-9
04-10-2023,-13
04-11-2018,-5
11-18-2018,-3
11-01-2018,-10
04-11-2019,-6
10-27-2023,-19
07-31-2019,1
03-02-2022,-14
11-18-2020,-16
02-17-2021,-9
12-18-2019,-11
04-10-2022,-12
05-29-2022,-1
03-08-2023,-17
06-28-2017,3
06-26-2022,-8
05-04-2018,-4
07-05-2022,-1
05-26-2021,0
08-15-2023,-6
03-06-2021,-17
01-30-2017,-12
04-16-2024,-9
06-28-2018,-4
10-16-2021,-15
06-01-2018,2
06-24-2020,-4
01-10-2024,-16
04-07-2024,-19
08-19-2021,-7
